 * ABOUT        XMRig/6.25.0 gcc/13.2.1 (built for Linux x86-64, 64 bit)
 * LIBS         libuv/1.51.0 OpenSSL/3.0.16 hwloc/2.12.1
 * HUGE PAGES   supported
 * 1GB PAGES    disabled
 * CPU          AMD EPYC-Milan Processor (1) 64-bit AES VM
                L2:0.5 MB L3:32.0 MB 1C/2T NUMA:1
 * MEMORY       1.3/1.8 GB (73%)
 * DONATE       1%
 * ASSEMBLY     auto:ryzen
 * POOL #1      pool.supportxmr.com:3333 algo auto
 * COMMANDS     'h' hashrate, 'p' pause, 'r' resume, 's' results, 'c' connection
[2026-01-17 21:41:32.135]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (36 tx)
[2026-01-17 21:41:43.375]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (37 tx)
[2026-01-17 21:41:50.754]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (38 tx)
[2026-01-17 21:41:50.958]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (39 tx)
[2026-01-17 21:41:53.170]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (40 tx)
[2026-01-17 21:41:59.414]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (41 tx)
[2026-01-17 21:42:09.552]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (43 tx)
[2026-01-17 21:42:13.062]  miner    speed 10s/60s/15m 33.06 32.29 n/a H/s max 36.18 H/s
[2026-01-17 21:42:22.767]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (44 tx)
[2026-01-17 21:42:32.802]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (46 tx)
[2026-01-17 21:42:42.871]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (47 tx)
[2026-01-17 21:42:47.401]  net      pool.supportxmr.com:3333 read error: "end of file"
[2026-01-17 21:42:47.401]  net      no active pools, stop mining
[2026-01-17 21:42:53.250]  net      use pool pool.supportxmr.com:3333  107.167.92.130
[2026-01-17 21:42:53.250]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (50 tx)
[2026-01-17 21:42:55.693]  net      new job from pool.supportxmr.com:3333 diff 143620 algo rx/0 height 3590049 (50 tx)
[2026-01-17 21:43:05.683]  net      new job from pool.supportxmr.com:3333 diff 143620 algo rx/0 height 3590049 (51 tx)
[2026-01-17 21:43:13.201]  miner    speed 10s/60s/15m 31.52 29.19 n/a H/s max 36.18 H/s
[2026-01-17 21:43:15.870]  net      new job from pool.supportxmr.com:3333 diff 143620 algo rx/0 height 3590049 (54 tx)
[2026-01-17 21:43:25.863]  net      new job from pool.supportxmr.com:3333 diff 143620 algo rx/0 height 3590049 (56 tx)
[2026-01-17 21:43:35.893]  net      new job from pool.supportxmr.com:3333 diff 143620 algo rx/0 height 3590049 (58 tx)
[2026-01-17 21:43:45.964]  net      new job from pool.supportxmr.com:3333 diff 143620 algo rx/0 height 3590049 (60 tx)
[2026-01-17 21:43:55.716]  net      new job from pool.supportxmr.com:3333 diff 95745 algo rx/0 height 3590049 (60 tx)
[2026-01-17 21:43:56.268]  net      new job from pool.supportxmr.com:3333 diff 95745 algo rx/0 height 3590049 (61 tx)
[2026-01-17 21:44:06.329]  net      new job from pool.supportxmr.com:3333 diff 95745 algo rx/0 height 3590049 (62 tx)
[2026-01-17 21:44:11.416]  net      new job from pool.supportxmr.com:3333 diff 95745 algo rx/0 height 3590049 (65 tx)
[2026-01-17 21:44:13.368]  miner    speed 10s/60s/15m 32.62 32.67 n/a H/s max 36.18 H/s
[2026-01-17 21:44:16.539]  net      new job from pool.supportxmr.com:3333 diff 95745 algo rx/0 height 3590049 (66 tx)
[2026-01-17 21:44:28.398]  net      new job from pool.supportxmr.com:3333 diff 95745 algo rx/0 height 3590049 (67 tx)
[2026-01-17 21:44:38.455]  net      new job from pool.supportxmr.com:3333 diff 95745 algo rx/0 height 3590049 (74 tx)
[2026-01-17 21:44:48.553]  net      new job from pool.supportxmr.com:3333 diff 95745 algo rx/0 height 3590049 (79 tx)
[2026-01-17 21:44:55.739]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (79 tx)
[2026-01-17 21:45:02.791]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (80 tx)
[2026-01-17 21:45:13.015]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (85 tx)
[2026-01-17 21:45:13.506]  miner    speed 10s/60s/15m 33.51 32.33 n/a H/s max 36.18 H/s
[2026-01-17 21:45:23.096]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (89 tx)
[2026-01-17 21:45:33.360]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (91 tx)
[2026-01-17 21:45:35.004]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590050 (1 tx)
[2026-01-17 21:45:45.016]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590050 (2 tx)
[2026-01-17 21:45:55.033]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590050 (5 tx)
[2026-01-17 21:46:05.310]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590050 (6 tx)
[2026-01-17 21:46:13.651]  miner    speed 10s/60s/15m 31.37 32.59 n/a H/s max 36.18 H/s
[2026-01-17 21:46:15.637]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590050 (12 tx)
[2026-01-17 21:46:25.761]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590050 (15 tx)
[2026-01-17 21:46:36.305]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590050 (16 tx)
[2026-01-17 21:46:46.355]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590050 (20 tx)
[2026-01-17 21:46:56.655]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590050 (25 tx)
[2026-01-17 21:46:56.975]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590051 (1 tx)
[2026-01-17 21:47:08.474]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590051 (2 tx)
[2026-01-17 21:47:09.491]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590052 (2 tx)
[2026-01-17 21:47:13.791]  miner    speed 10s/60s/15m 32.45 33.27 n/a H/s max 36.18 H/s
[2026-01-17 21:47:18.634]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (3 tx)
[2026-01-17 21:47:28.819]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (5 tx)
[2026-01-17 21:47:38.826]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590053 (6 tx)
